,0
SCHGTRA LX Equity,0.37566052534380145
CONML33 AV Equity,-0.41399237555333196
US1ARUP LX Equity,0.36595148988541665
AQRIX US Equity,0.24307731113888909
SCEMAIA LX Equity,0.2939653237568201
CABNX US Equity,0.2520416710598862
TYGLCON SP Equity,0.3970830699715362
FPACX US Equity,0.2904682248716148
JGAMAUA ID Equity,0.3955336724218285
BAUSDBA IJ Equity,0.18907369108723146
WARINBU GU Equity,0.31583564554184806
ALLMNBU BH Equity,0.35109140465143135
MSUBPE1 ID Equity,0.27553635759524064
